scene_id,sensor,acquisition_time_utc,area_name,n_vessels_true,truly_dark_n,spoofed_truths,ais_raw_messages,ais_after_cleaning,ais_candidates_in_footprint,sar_detections_n,matched_sar_ais_n,sar_only_dark_candidates_n,ais_only_n,identity_mismatch_warnings_n,ambiguous_matches_n,geofence_alerts_n,processing_time_sec,tp,fp,fn,precision,recall,f1,dark_precision,dark_recall,identity_mismatch_recall,ais_coverage_true,coast_fraction,thematic_map_output
SIM_0000,Sentinel-1 IW GRD (sim),2024-05-14 15:20:00,Taiwan Strait nearshore (sim),19,7,1,723,719,19,22,8,14,11,1,0,3,3.584,14,8,5,0.6364,0.7368,0.6829,0.4286,0.8571,1.0,0.727,0.193,Y
SIM_0001,GF-3 FSII (sim),2024-05-14 16:20:00,Taiwan Strait (sim),9,2,0,309,307,8,7,4,3,4,0,0,1,3.359,6,1,3,0.8571,0.6667,0.75,0.6667,1.0,,0.747,0.0,Y
SIM_0002,Sentinel-1 IW GRD (sim),2024-05-14 17:20:00,Taiwan Strait (sim),20,4,1,714,709,19,19,14,5,5,0,0,5,3.336,18,1,2,0.9474,0.9,0.9231,0.8,1.0,0.0,0.897,0.0,Y
SIM_0003,GF-3 FSII (sim),2024-05-14 18:20:00,Taiwan Strait nearshore (sim),20,4,0,873,871,23,26,15,11,8,1,0,4,3.837,19,7,1,0.7308,0.95,0.8261,0.3636,1.0,,0.794,0.084,Y
SIM_0004,Sentinel-1 IW GRD (sim),2024-05-14 19:20:00,Taiwan Strait (sim),14,1,0,616,613,16,12,11,1,5,3,0,1,3.446,12,0,2,1.0,0.8571,0.9231,1.0,1.0,,0.896,0.0,Y
SIM_0005,GF-3 FSII (sim),2024-05-14 20:20:00,Taiwan Strait (sim),28,5,1,1097,1095,29,34,22,12,7,1,0,6,3.483,26,8,2,0.7647,0.9286,0.8387,0.3333,0.8,1.0,0.776,0.0,Y
SIM_0006,Sentinel-1 IW GRD (sim),2024-05-14 21:20:00,Taiwan Strait (sim),30,5,1,1112,1107,29,25,18,7,11,1,0,6,3.657,22,3,8,0.88,0.7333,0.8,0.5714,0.8,1.0,0.743,0.0,Y
SIM_0007,GF-3 FSII (sim),2024-05-14 22:20:00,Taiwan Strait nearshore (sim),25,4,0,916,913,24,31,18,13,6,2,0,6,4.026,21,10,4,0.6774,0.84,0.75,0.2308,0.75,,0.874,0.193,Y
SIM_0008,Sentinel-1 IW GRD (sim),2024-05-14 23:20:00,Taiwan Strait (sim),7,1,0,268,263,7,8,6,2,1,1,0,1,3.216,7,1,0,0.875,1.0,0.9333,0.5,1.0,,0.848,0.0,Y
SIM_0009,GF-3 FSII (sim),2024-05-15 00:20:00,Taiwan Strait nearshore (sim),25,3,1,997,992,26,28,19,9,7,2,0,13,3.848,22,6,3,0.7857,0.88,0.8302,0.3333,1.0,1.0,0.835,0.165,Y
SIM_0010,Sentinel-1 IW GRD (sim),2024-05-15 01:20:00,Taiwan Strait (sim),9,1,0,312,308,8,8,7,1,1,0,0,2,3.185,8,0,1,1.0,0.8889,0.9412,1.0,1.0,,0.802,0.0,Y
SIM_0011,GF-3 FSII (sim),2024-05-15 02:20:00,Taiwan Strait nearshore (sim),21,4,1,833,830,22,20,14,6,8,1,0,3,3.495,18,2,3,0.9,0.8571,0.878,0.6667,1.0,1.0,0.714,0.102,Y
SIM_0012,Sentinel-1 IW GRD (sim),2024-05-15 03:20:00,Taiwan Strait (sim),8,2,0,315,310,8,8,6,2,2,1,0,3,3.175,8,0,0,1.0,1.0,1.0,1.0,1.0,,0.719,0.0,Y
SIM_0013,GF-3 FSII (sim),2024-05-15 04:20:00,Taiwan Strait (sim),17,4,0,652,647,17,19,13,6,4,0,0,3,3.207,17,2,0,0.8947,1.0,0.9444,0.6667,1.0,,0.775,0.0,Y
SIM_0014,Sentinel-1 IW GRD (sim),2024-05-15 05:20:00,Taiwan Strait nearshore (sim),23,5,0,912,910,24,21,15,6,9,1,0,4,3.745,19,2,4,0.9048,0.8261,0.8636,0.6667,0.8,,0.862,0.194,Y
SIM_0015,GF-3 FSII (sim),2024-05-15 06:20:00,Taiwan Strait nearshore (sim),12,2,1,530,528,14,19,9,10,5,1,1,1,3.814,11,8,1,0.5789,0.9167,0.7097,0.2,1.0,1.0,0.786,0.122,Y
SIM_0016,Sentinel-1 IW GRD (sim),2024-05-15 07:20:00,Taiwan Strait (sim),7,2,0,192,188,5,9,4,5,1,2,0,0,3.187,6,3,1,0.6667,0.8571,0.75,0.4,1.0,,0.875,0.0,Y
SIM_0017,GF-3 FSII (sim),2024-05-15 08:20:00,Taiwan Strait (sim),32,5,4,1282,1278,34,41,26,15,8,4,0,7,3.506,31,10,1,0.7561,0.9688,0.8493,0.3333,1.0,1.0,0.715,0.0,Y
SIM_0018,Sentinel-1 IW GRD (sim),2024-05-15 09:20:00,Taiwan Strait nearshore (sim),12,0,1,491,487,13,19,11,8,2,0,0,3,3.655,11,8,1,0.5789,0.9167,0.7097,0.0,,0.0,0.861,0.136,Y
SIM_0019,GF-3 FSII (sim),2024-05-15 10:20:00,Taiwan Strait nearshore (sim),18,2,0,764,762,20,18,14,4,6,0,0,4,3.683,16,2,2,0.8889,0.8889,0.8889,0.5,1.0,,0.718,0.101,Y
SIM_0020,Sentinel-1 IW GRD (sim),2024-05-15 11:20:00,Taiwan Strait (sim),23,2,2,1074,1071,28,24,20,4,8,0,1,6,3.371,22,2,1,0.9167,0.9565,0.9362,0.5,1.0,0.0,0.865,0.0,Y
SIM_0021,GF-3 FSII (sim),2024-05-15 12:20:00,Taiwan Strait (sim),22,6,1,730,725,19,23,15,8,4,2,0,4,3.336,20,3,2,0.8696,0.9091,0.8889,0.625,0.8333,1.0,0.714,0.0,Y
SIM_0022,Sentinel-1 IW GRD (sim),2024-05-15 13:20:00,Taiwan Strait (sim),12,5,1,419,416,11,12,7,5,4,0,0,4,3.179,11,1,1,0.9167,0.9167,0.9167,0.8,0.8,0.0,0.743,0.0,Y
SIM_0023,GF-3 FSII (sim),2024-05-15 14:20:00,Taiwan Strait (sim),16,3,3,721,719,19,15,12,3,7,0,0,2,3.229,15,0,1,1.0,0.9375,0.9677,1.0,1.0,0.0,0.772,0.0,Y
SIM_0024,Sentinel-1 IW GRD (sim),2024-05-15 15:20:00,Taiwan Strait (sim),16,7,0,651,648,17,14,7,7,10,0,0,2,3.347,14,0,2,1.0,0.875,0.9333,1.0,1.0,,0.74,0.0,Y
SIM_0025,GF-3 FSII (sim),2024-05-15 16:20:00,Taiwan Strait nearshore (sim),8,0,0,351,346,9,12,8,4,1,0,0,0,3.511,8,4,0,0.6667,1.0,0.8,0.0,,,0.802,0.133,Y
SIM_0026,Sentinel-1 IW GRD (sim),2024-05-15 17:20:00,Taiwan Strait (sim),23,6,2,765,760,20,24,14,10,6,2,0,7,3.394,20,4,3,0.8333,0.8696,0.8511,0.6,1.0,1.0,0.741,0.0,Y
SIM_0027,GF-3 FSII (sim),2024-05-15 18:20:00,Taiwan Strait (sim),7,0,0,345,342,9,9,7,2,2,2,0,2,3.2,7,2,0,0.7778,1.0,0.875,0.0,,,0.882,0.0,Y
SIM_0028,Sentinel-1 IW GRD (sim),2024-05-15 19:20:00,Taiwan Strait (sim),12,7,1,431,428,11,15,4,11,7,0,0,1,3.315,11,4,1,0.7333,0.9167,0.8148,0.6364,1.0,0.0,0.708,0.0,Y
SIM_0029,GF-3 FSII (sim),2024-05-15 20:20:00,Taiwan Strait (sim),18,6,0,579,576,15,21,12,9,3,0,0,2,3.263,18,3,0,0.8571,1.0,0.9231,0.6667,1.0,,0.761,0.0,Y
SIM_0030,Sentinel-1 IW GRD (sim),2024-05-15 21:20:00,Taiwan Strait nearshore (sim),17,5,0,570,568,15,34,12,22,3,1,0,3,3.799,17,17,0,0.5,1.0,0.6667,0.2273,1.0,,0.663,0.119,Y
SIM_0031,GF-3 FSII (sim),2024-05-15 22:20:00,Taiwan Strait (sim),34,4,1,1379,1377,36,33,28,5,8,3,0,10,3.597,31,2,3,0.9394,0.9118,0.9254,0.6,0.75,1.0,0.775,0.0,Y
SIM_0032,Sentinel-1 IW GRD (sim),2024-05-15 23:20:00,Taiwan Strait (sim),22,11,1,689,686,18,22,10,12,8,1,0,4,3.355,20,2,2,0.9091,0.9091,0.9091,0.8333,0.9091,1.0,0.676,0.0,Y
SIM_0033,GF-3 FSII (sim),2024-05-16 00:20:00,Taiwan Strait nearshore (sim),16,4,1,571,569,15,22,12,10,3,2,0,4,3.672,15,7,1,0.6818,0.9375,0.7895,0.3,0.75,1.0,0.799,0.085,Y
SIM_0034,Sentinel-1 IW GRD (sim),2024-05-16 01:20:00,Taiwan Strait nearshore (sim),28,1,1,1547,1543,41,36,24,12,17,4,0,16,4.01,25,11,3,0.6944,0.8929,0.7812,0.0833,1.0,1.0,0.852,0.197,Y
SIM_0035,GF-3 FSII (sim),2024-05-16 02:20:00,Taiwan Strait nearshore (sim),31,4,1,1247,1242,33,35,21,14,12,2,0,8,3.997,25,10,6,0.7143,0.8065,0.7576,0.2857,1.0,1.0,0.885,0.119,Y
SIM_0036,Sentinel-1 IW GRD (sim),2024-05-16 03:20:00,Taiwan Strait (sim),16,4,2,541,536,14,18,11,7,3,1,0,0,3.34,14,4,2,0.7778,0.875,0.8235,0.4286,0.75,0.5,0.801,0.0,Y
SIM_0037,GF-3 FSII (sim),2024-05-16 04:20:00,Taiwan Strait (sim),17,4,0,675,670,18,21,13,8,5,2,0,4,3.251,17,4,0,0.8095,1.0,0.8947,0.5,1.0,,0.707,0.0,Y
SIM_0038,Sentinel-1 IW GRD (sim),2024-05-16 05:20:00,Taiwan Strait (sim),33,10,1,1099,1096,29,40,24,16,5,5,0,5,3.406,31,9,2,0.775,0.9394,0.8493,0.4375,0.7,1.0,0.777,0.0,Y
SIM_0039,GF-3 FSII (sim),2024-05-16 06:20:00,Taiwan Strait nearshore (sim),29,2,1,1286,1283,34,31,24,7,10,0,0,7,4.11,26,5,3,0.8387,0.8966,0.8667,0.2857,1.0,0.0,0.95,0.17,Y
SIM_0040,Sentinel-1 IW GRD (sim),2024-05-16 07:20:00,Taiwan Strait (sim),26,8,1,995,991,26,30,18,12,8,3,0,9,3.537,24,6,2,0.8,0.9231,0.8571,0.5,0.75,1.0,0.828,0.0,Y
SIM_0041,GF-3 FSII (sim),2024-05-16 08:20:00,Taiwan Strait (sim),33,7,1,1295,1293,34,32,24,8,10,0,0,19,3.501,30,2,3,0.9375,0.9091,0.9231,0.75,0.8571,0.0,0.72,0.0,Y
SIM_0042,Sentinel-1 IW GRD (sim),2024-05-16 09:20:00,Taiwan Strait (sim),26,6,0,1150,1148,30,28,19,9,11,1,0,2,3.593,25,3,1,0.8929,0.9615,0.9259,0.6667,1.0,,0.787,0.0,Y
SIM_0043,GF-3 FSII (sim),2024-05-16 10:20:00,Taiwan Strait nearshore (sim),13,2,2,531,528,14,16,10,6,4,1,0,10,3.596,12,4,1,0.75,0.9231,0.8276,0.3333,1.0,0.5,0.898,0.084,Y
SIM_0044,Sentinel-1 IW GRD (sim),2024-05-16 11:20:00,Taiwan Strait (sim),7,0,0,271,267,7,7,7,0,0,0,0,2,3.335,7,0,0,1.0,1.0,1.0,0.0,,,0.707,0.0,Y
SIM_0045,GF-3 FSII (sim),2024-05-16 12:20:00,Taiwan Strait (sim),27,7,1,1063,1059,28,34,20,14,8,5,1,1,3.522,26,8,1,0.7647,0.963,0.8525,0.5,1.0,1.0,0.834,0.0,Y
SIM_0046,Sentinel-1 IW GRD (sim),2024-05-16 13:20:00,Taiwan Strait (sim),14,0,0,685,682,18,15,14,1,4,0,0,9,3.236,14,1,0,0.9333,1.0,0.9655,0.0,,,0.92,0.0,Y
SIM_0047,GF-3 FSII (sim),2024-05-16 14:20:00,Taiwan Strait (sim),16,3,1,800,796,21,20,12,8,9,2,0,7,3.311,15,5,1,0.75,0.9375,0.8333,0.375,1.0,1.0,0.876,0.0,Y
SIM_0048,Sentinel-1 IW GRD (sim),2024-05-16 15:20:00,Taiwan Strait (sim),11,4,1,420,416,11,12,6,6,5,1,0,0,3.269,10,2,1,0.8333,0.9091,0.8696,0.6667,1.0,1.0,0.776,0.0,Y
SIM_0049,GF-3 FSII (sim),2024-05-16 16:20:00,Taiwan Strait nearshore (sim),25,8,0,808,804,21,27,15,12,6,2,0,1,3.975,21,6,4,0.7778,0.84,0.8077,0.5,0.75,,0.734,0.193,Y
